station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
BAS;01.04.1775 00:00;;;8.1;-2.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.05.1775 00:00;;;12.1;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.06.1775 00:00;;;17.9;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.07.1775 00:00;;;18.4;-1.8;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.08.1775 00:00;;;18;-1.7;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.09.1775 00:00;;;15.8;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.10.1775 00:00;;;9.5;-1.6;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.11.1775 00:00;;;3.7;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.12.1775 00:00;;;-0.6;-3.5;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.01.1776 00:00;;;-4.9;-7.1;;;;;;;;;;;;;;;;;;;;;;;;;;
BAS;01.02.1776 00:00;;;3.4;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
